	(1)	(2)	(3)	(4)	(5)
VARIABLES	N	mean	sd	p25	p75
					
SPREADRAW	17,018	250.0	103.4	175	300
HASINST	17,001	0	0	0	0
NUMLENDERS	17,001	4.142	5.028	1	5
LOANAMT	17,018	3.648	1.751	2.303	5.011
MATURITY	17,018	41.98	25.76	22	60
LEV	16,946	0.318	0.237	0.131	0.464
PROFIT	17,016	0.00325	0.166	-0.00497	0.0614
MVE	16,989	1,166	4,031	53.95	714.2
AT	17,016	1,857	5,678	73.37	1,014
ALTMANZ	13,836	3.615	6.140	1.533	4.244
NUMEST	17,018	3.845	5.143	0	6
D_EST	17,018	0.659	0.474	0	1
RATING	4,778	11.13	2.801	9	13
RATED	17,018	0.282	0.450	0	1
INVG	4,778	0.694	0.461	0	1
					
