	(1)	(2)	(3)	(4)	(5)	(6)
	hasinst 0			hasinst 1		
VARIABLES	mean	sd	N	mean	sd	N
						
bh5	0.52	8.04	38761.00	0.93	8.75	2176.00
bh3	0.34	6.32	38758.00	0.70	6.96	2176.00
bh1	0.14	4.15	38741.00	0.21	4.12	2176.00
dealamount	330.90	924.26	38756.00	738.35	1348.96	2176.00
RATED	0.46	0.50	38761.00	0.70	0.46	2176.00
RATING	13.80	3.69	17838.00	9.92	1.94	1519.00
INVG	0.23	0.42	17838.00	0.69	0.46	1519.00
LNAT	6.86	2.39	36981.00	7.00	1.56	2154.00
LEV	0.30	0.21	32953.00	0.44	0.26	2029.00
MTB	2.55	64.53	34870.00	3.71	70.64	2113.00
MVE	5208.90	17394.84	36196.00	1972.44	4605.08	2135.00
avgmaturity	43.97	32.18	35424.00	63.11	19.60	2101.00
						
